px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.001	0.001	0	0	0	0	0	0	0	0	0	0
0.346452	-0.346218	0	0	0	0	0	0	0	0	0	2.06614
1.51349	-0.116508	0.352382	3.29597e-17	1.04083e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	2.27425
1.62528	0.0173288	1.28588	-0.0985567	-0.0494629	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	16.9451
3.85841	-0.141057	1.43065	-0.0242584	0.11049	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	2.72697
3.932	0.0604574	1.55638	0.224351	0.501395	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	6.49108
6.81994	0.43182	1.75641	-0.479509	0.987148	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	4.47049
6.71764	0.499048	2.17731	-0.135648	0.557823	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	4.86629
9.03446	0.595738	2.37862	0.32863	0.543231	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.587154
9.03918	0.654348	2.44374	0.304631	0.45397	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.8989
11.4943	1.63623	2.62402	0.464835	0.26146	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	2.35017
11.4892	1.60402	2.62652	0.447486	0.248894	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.347747
13.6543	2.37645	2.35673	0.458001	0.135598	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	2.06368
13.6821	2.34345	2.41751	0.430701	0.113448	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.47573
16.4801	2.92178	2.70435	0.186856	-0.0672377	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	6.78327
16.4532	2.91758	2.69497	0.191072	-0.0651122	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.448443
19.0164	3.67633	2.70075	0.268134	0.00654814	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.49425
19.0518	3.69315	2.6912	0.275745	0.0137115	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.79184
21.3856	4.71575	2.58196	0.424787	0.0830509	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.872197
21.4462	4.72109	2.67407	0.412351	0.0707661	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.05587
24.0366	5.5867	2.73807	0.342447	-0.0015649	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.698637
24.1524	5.61894	2.88656	0.330741	-0.0116023	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	4.04214
26.6434	6.93517	2.83536	0.493678	0.0773462	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.912381
26.651	6.9296	2.88215	0.481452	0.063726	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.60968
29.4994	8.08346	3.05269	0.392445	-0.0168129	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	1.71754
29.4992	8.08731	3.05121	0.394041	-0.0157783	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.0354694
31.9844	9.84047	3.01554	0.632696	0.115799	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.81873
31.9424	9.82296	2.97695	0.633498	0.116712	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.823367
34.6134	10.8001	2.80183	0.385771	-0.0715572	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	4.56037
34.6997	10.8272	2.89688	0.372758	-0.0801571	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.37852
37.187	12.0714	2.82428	0.434044	-0.00730682	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.789107
37.2581	12.0936	2.91848	0.427598	-0.013633	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.55393
40.2132	13.4185	3.20453	0.413628	-0.0145754	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	2.66905
40.1595	13.4067	3.12591	0.421225	-0.00812019	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0.876007
42.8049	14.8275	3.05045	0.495218	0.0344938	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.382016
42.791	14.8232	3.06152	0.492576	0.0304755	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.433712
45.3555	16.5299	3.09477	0.612643	0.0772608	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.25066
45.4032	16.5427	3.14512	0.605457	0.0710667	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.742133
48.1941	17.4003	2.87593	0.319451	-0.113388	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	5.35173
48.1571	17.3873	2.83022	0.322791	-0.111871	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.453329
50.6343	18.9905	2.87681	0.562207	0.0724771	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	3.55288
50.6254	18.9811	2.88461	0.555962	0.0663575	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.244466
53.6216	19.9229	3.0489	0.281289	-0.110447	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	4.16198
53.5847	19.8986	2.96069	0.275784	-0.116797	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.822229
56.1085	21.062	2.81458	0.386568	-0.0011365	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.13454
56.0635	21.0456	2.75983	0.385786	-0.00131521	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.669037
58.6633	21.8082	2.74033	0.27698	-0.0567089	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.332333
58.6687	21.8129	2.76385	0.27932	-0.0544314	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.0991058
60.966	22.7815	2.55857	0.371491	0.019145	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	1.90708
60.9457	22.7707	2.56851	0.368575	0.0170555	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.734382
63.3806	23.4352	2.55041	0.268462	-0.0424551	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.37898
63.4398	23.4564	2.58693	0.266746	-0.0443613	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	1.97241
66.2388	23.9836	2.81916	0.151902	-0.0784901	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.8724
66.1512	23.9376	2.65981	0.127983	-0.101831	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.96796
68.3853	24.3527	2.37287	0.128663	-0.0531013	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	2.82055
68.4506	24.3801	2.45313	0.140905	-0.0434575	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.39457
70.8274	24.8635	2.45082	0.184586	0.000507234	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.204084
70.7897	24.8488	2.38669	0.176258	-0.00689598	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.490171
72.9667	24.7758	2.20842	-0.0299254	-0.106256	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	2.20528
72.9946	24.7874	2.23462	-0.026022	-0.103739	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.327562
75.0448	25.1932	2.10424	0.13778	0.0266139	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	2.2613
75.0298	25.1878	2.08743	0.134286	0.0243221	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0729168
77.1255	24.9909	2.08653	-0.0858198	-0.0944663	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.50349
77.1174	24.9764	2.02911	-0.110292	-0.118762	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.908345
79.1029	24.9916	2.01229	-0.0496866	-0.0328874	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0.814176
79.0989	24.9897	1.98686	-0.0568564	-0.0405447	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.193051
80.8693	24.8672	1.84089	-0.0892664	-0.0373137	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.66753
80.8865	24.8709	1.81522	-0.09807	-0.0497582	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.13797
82.6314	24.6406	1.79329	-0.153563	-0.0526448	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0170214
82.6061	24.6297	1.74803	-0.170698	-0.0672225	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.281497
84.2032	24.5157	1.64847	-0.115937	-0.0114174	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.575677
84.2068	24.5164	1.64921	-0.115742	-0.0117033	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.0166447
85.687	23.8757	1.58651	-0.391494	-0.13335	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	1.9158
85.725	23.8879	1.61759	-0.380169	-0.127307	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.566092
87.0032	23.477	1.42398	-0.391435	-0.0780292	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.28005
87.0884	23.5041	1.46985	-0.361445	-0.0663612	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.42591
88.7205	22.8138	1.72944	-0.429185	-0.0650323	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.01627
88.6668	22.794	1.67664	-0.467852	-0.0912308	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0.807778
89.6509	22.2486	1.26589	-0.547191	-0.0916469	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	4.99939
89.6728	22.2557	1.27001	-0.542373	-0.0926878	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.361899
90.5628	21.6469	1.13547	-0.638081	-0.0955959	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.530668
90.642	21.6711	1.20557	-0.573373	-0.0542559	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.81099
91.6931	21.0954	1.2176	-0.535436	-0.0141138	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.217311
91.7564	21.1126	1.24577	-0.503399	-0.00250509	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	1.88495
92.8546	20.8826	1.13344	-0.266433	0.0987264	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	1.39024
92.9146	20.9033	1.14102	-0.240433	0.104513	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.5151
93.612	20.3018	0.899005	-0.49842	-0.0470935	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	5.32379
93.65	20.314	0.9461	-0.471633	-0.030109	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0.448117
95.1023	19.6956	1.47019	-0.404303	0.0179514	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	8.77418
94.9762	19.6579	1.3334	-0.525369	-0.053665	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	4.26803
95.6642	19.5771	0.814988	-0.360515	0.0296594	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	8.03665
95.6653	19.5739	0.832959	-0.358039	0.0331965	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.115525
96.3109	19.1938	0.770302	-0.447324	-0.0170781	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.556838
96.3485	19.2	0.812843	-0.422089	-0.00287332	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.426718
97.4094	18.7511	1.10186	-0.394722	0.0111883	97.5286	18.727	97.45	18.506	0.868716	-0.503009	2.60501
97.406	18.7481	1.09156	-0.40449	0.00483568	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.0708113
98.2534	18.365	0.988478	-0.412169	-0.000660673	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.337761
98.2648	18.3668	0.984744	-0.41222	-0.00356852	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.196924
99.0641	17.47	1.07535	-0.824056	-0.165739	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	3.23654
99.0759	17.4936	1.11051	-0.757687	-0.116214	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.22787
99.9574	16.9378	1.07456	-0.654567	-0.0273439	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.96604
100.037	16.9535	1.11898	-0.598366	-0.00158412	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	2.15096
