px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.40375	-5.27068	-2.8663	2.09621	0.246077	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	0.716801
7.46455	-5.42738	-2.90269	2.07553	0.18223	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0.0803248
7.54199	-5.56468	-2.87003	2.08473	0.17441	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.137129
7.62949	-5.68434	-2.84444	2.11855	0.219084	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.0418432
7.69448	-5.80583	-2.70856	2.11751	0.181844	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.300144
7.75633	-5.94418	-2.72521	2.10432	0.139261	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0.0445393
7.87438	-6.09859	-3.40573	2.17045	0.330309	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	4.88532
7.96447	-6.24074	-3.41036	2.17971	0.316682	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.00463746
8.04446	-6.36916	-2.97941	2.17057	0.2216	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	2.14395
8.14966	-6.48084	-2.94998	2.21334	0.279895	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.0696393
8.22379	-6.59369	-2.74066	2.21492	0.241574	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	0.6552
8.28974	-6.73342	-2.75724	2.18988	0.170036	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.115497
8.37369	-6.85601	-2.80911	2.19856	0.174547	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.257573
8.46006	-6.97396	-2.79769	2.2102	0.178894	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.0263011
8.52826	-7.07991	-2.72295	2.20758	0.153389	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.304857
8.58224	-7.21502	-2.74769	2.16757	0.0643759	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.159061
8.69537	-7.35792	-3.27362	2.20681	0.178783	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	3.02111
8.76585	-7.51433	-3.30011	2.16915	0.0913747	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.141408
8.80766	-7.63824	-2.63806	2.10486	-0.103167	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	4.75694
8.86913	-7.76433	-2.63515	2.08791	-0.123647	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.0376393
8.94617	-7.89087	-2.86106	2.09788	-0.0704047	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.572996
8.99476	-8.02972	-2.8779	2.06085	-0.131342	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.0964787
9.01538	-8.14089	-2.39527	1.99198	-0.300615	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	2.90709
9.06611	-8.25524	-2.38568	1.97933	-0.293497	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.0111429
9.14488	-8.39189	-2.80897	2.01009	-0.15928	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	1.99661
9.18231	-8.53445	-2.83476	1.9692	-0.218601	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.0817052
9.20581	-8.66186	-2.48785	1.90035	-0.376286	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	1.45401
9.249	-8.78291	-2.47342	1.88767	-0.36189	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.0135312
9.39771	-8.97212	-3.75448	2.06582	0.198029	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	20.0464
9.46914	-9.14692	-3.77583	2.0518	0.154774	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.0419612
9.49139	-9.26253	-2.98126	1.98334	-0.0862442	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	7.02665
9.55362	-9.38325	-2.95338	1.99351	-0.0588088	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.0669003
9.58573	-9.49739	-2.67704	1.96078	-0.147277	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.08078
9.6013	-9.64268	-2.71034	1.90635	-0.232779	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.213972
9.66769	-9.78885	-2.98598	1.92955	-0.126086	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.0326
9.69318	-9.94007	-3.00556	1.89062	-0.185279	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.14741
9.69914	-10.0706	-2.60464	1.81503	-0.372021	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	2.15507
9.74313	-10.185	-2.55432	1.82181	-0.322158	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.135646
9.78746	-10.3214	-2.67703	1.82367	-0.273099	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.645976
9.79361	-10.4659	-2.71242	1.7747	-0.336624	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.114208
9.83712	-10.6174	-2.91913	1.79593	-0.218326	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.926776
9.86572	-10.7688	-2.91103	1.78177	-0.22179	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.0266847
9.86795	-10.906	-2.61273	1.71622	-0.377478	9.88465	-10.9383	9.85	-10.9	0	-2.73074	1.11108
